,0
margin,2338.0523422012084
TotalPremium,243.65294724893192
Province_Free State,1.7678303265711293e-11
Province_Northern Cape,1.4429346606448235e-11
Model_P-10 2.0TCI 15s,7.212799801870062e-12
make_CHERY,7.2123418348724044e-12
Province_Gauteng,6.366462912410498e-12
Province_Mpumalanga,6.2021499047659745e-12
Province_Eastern Cape,5.6843418860808015e-12
make_BMW,4.915734486132806e-12
Model_AVANZA 1.3 SX,4.888311977424564e-12
Province_Western Cape,4.82369699739138e-12
make_CHEVROLET,4.808209386197859e-12
Province_Limpopo,4.618527782440651e-12
make_NISSAN/DATSUN,4.012123966390391e-12
Province_KwaZulu-Natal,3.637978807091713e-12
Province_North West,3.6013414472790828e-12
make_AUDI,3.3504310437137974e-12
make_B.A.W,2.6296742561271458e-12
Model_SASUKA 2.7i (16 SEAT),2.623817829672248e-12
PostalCode,2.5863755581667647e-12
Model_NV350 2.5 16 SEAT IMPENDULO,2.308042645893238e-12
Gender_nan,2.1387336346379016e-12
Model_QUANTUM 2.7 14 SEAT,1.8847146066036657e-12
Gender_Female,1.752153977463422e-12
Model_COROLLA 1.3 IMPACT,1.7394974349826953e-12
Model_QUANTUM 2.7 SESFIKILE 16s,1.6008028236313976e-12
Model_INYATHI,1.5807910536125291e-12
make_HYUNDAI,1.5674683773170273e-12
Model_TAZZ 130,1.5219492333073958e-12
Model_VERSO 180 SX,1.4980239271267237e-12
Model_AVANZA 1.5 SX,1.4954704141700859e-12
Model_320i (F30),1.3800627307603008e-12
loss_ratio,1.3642420526593924e-12
Model_SPRINTER 515 CDi HI-ROOF F/C P/V,1.3098411244527597e-12
Model_INYATHI 2.2i  HIGH ROOF,1.2954914918594795e-12
Model_COROLLA 1.3 PROFESSIONAL,1.2692902284783258e-12
Model_HAISE 2.2i,1.212807632100521e-12
Model_QUANTUM 2.7 SESFIKILE 14s,1.1927125953548057e-12
VehicleType_Medium Commercial,1.191935439237568e-12
make_TOYOTA,1.1466383398328617e-12
make_GOLDEN JOURNEY,1.0815792705898275e-12
Model_H-1 2.5 CRDi A/C F/C P/V A/T,1.0765555114033987e-12
Model_VERSO 1.6 S,1.0358242041874632e-12
Model_VENTURE 2400D 6+4 New,1.0043806064619076e-12
Model_320i (E90),9.984790771966345e-13
Model_YARIS T1 5Dr,9.939271627956714e-13
Model_YARIS ZEN3 ACS,9.900448516564353e-13
make_PROTON,9.835465775154262e-13
Model_VERSO 160,9.8161756501014e-13
Model_RunX 160i RS,9.567450998115845e-13
Model_YARIS ZEN3,9.54236689665322e-13
Model_ALMERA 1.5 ACENTA,9.50278050693143e-13
Model_SONIC 1.6 LS,9.454347027482157e-13
Model_RunX 140i RT,9.177138216021063e-13
make_nan,9.043876758596525e-13
Model_nan,9.015010959956271e-13
Model_VERSO 180,8.970836226640522e-13
Model_YARIS T3 A/C,8.951468039031241e-13
VehicleType_nan,8.946177132429511e-13
Model_COROLLA 1.6 ADVANCED,8.824607711233057e-13
make_MARCOPOLO,8.817530039451071e-13
Model_VOLARE W8 28 SEAT B/S B/S,8.814060592499118e-13
Model_AVEO 1.5 LS 5Dr A/T,8.745920654362749e-13
Model_VENTURE 1800 6+4 New,8.70772204342174e-13
Model_SONIC 1.3D LS 5DR,8.613838808901875e-13
Model_STALLION 1800 PANEL VAN F/C P/V,8.319959304836644e-13
VehicleType_Passenger Vehicle,8.310574450831609e-13
Model_COROLLA 130 GLE,8.19757456360648e-13
Model_OPTRA 1.6 L,8.181320204636577e-13
Model_QUANTUM 2.5 D-4D SESFIKILE 15s,8.180123245438153e-13
Model_AMANDLA 2.2,8.044676036433884e-13
Model_VENTURE 1800 6+4,7.989394736063193e-13
Model_QUANTUM 2.7 10 SEAT,7.989164885202626e-13
Model_YARIS T3 SPIRIT 5Dr,7.858763553109105e-13
Model_OPTRA 1.6 LS,7.840950111415168e-13
Model_A4 1.8T S AVANT,7.819300762434978e-13
Model_COROLLA 140i GLE,7.79071251955088e-13
Model_YARIS T1 3Dr,7.651206057612825e-13
Model_CONDOR 3000D ESTATE,7.464237561372045e-13
Model_STALLION 2000i PANEL VAN F/C P/V,7.43389724777721e-13
Model_YARIS T3+,7.301589888264459e-13
Model_AVANZA 1.5 SX A/T,7.193690088058702e-13
Model_HAISE H2 2.4i 15 SEAT,7.046169203661634e-13
make_VOLVO,7.008282842946301e-13
Model_A4 2.0 TDI S  MULTITRONIC,6.974421040695233e-13
Model_CADDY MAXI CREW BUS 1.9TDi,6.923697726257672e-13
Model_35S12V8 F/C P/V,6.675771047071066e-13
Model_POLO 1.6 COMFORTLINE 5DR,6.583414369210061e-13
Model_SPRINTER 519 CDI F/C P/V,6.562840548784976e-13
Model_CAMRY 220 GX A/T,6.4637878383067e-13
Model_MAKOYA 2.4i 16S,6.28733176633034e-13
make_C.A.M,6.213918268827001e-13
Model_LANCER 1.6 GLX,6.206146707654625e-13
Model_COROLLA 160i GLE A/T,6.201011926165734e-13
make_RENAULT,6.055156376305604e-13
Model_QUANTUM 2.5 D-4D 14 SEAT,6.035172361862351e-13
Model_CONDOR 2400i ESTATE,5.849903894628028e-13
Model_A4 1.8T S AVANT MULTITRONIC,5.674904990371488e-13
Model_HiACE SUPER T F/Lift,5.656291407474257e-13
Model_H-1 GLS 2.4 CVVT WAGON,5.583034035083756e-13
Model_NDLOVU 2.4i 16 Seats,5.567907246373238e-13
Model_SESBUYILE 2.5 TDi 16 SEAT,5.564437799421285e-13
make_FOTON,5.492273302820649e-13
Model_A4 2.0 TDI S 105kW,5.485056853160586e-13
Model_SONIC 1.6 LS 5DR,5.364441529875918e-13
Model_TAZZ 130 SPORT,5.357936316841005e-13
Model_CRAFTER 50 HR120 XLWB F/C P/V,5.335315522714268e-13
Model_NV350 2.5i NARROW F/C P/V,5.275190007036912e-13
Model_LP 713 S B/S B/S,5.243583345304614e-13
