,0
VehicleType_Passenger Vehicle,0.13279666
margin,0.094610736
Model_QUANTUM 2.7 SESFIKILE 14s,0.059406456
TotalPremium,0.05036066
Province_Western Cape,0.045156162
Model_QUANTUM 2.7 SESFIKILE 16s,0.04132809
PostalCode,0.037249167
make_TOYOTA,0.03294059
make_GOLDEN JOURNEY,0.030436104
VehicleType_Medium Commercial,0.028664943
Model_QUANTUM 2.5 D-4D 14 SEAT,0.028372087
UnderwrittenCoverID,0.02776175
PolicyID,0.02583839
Gender_nan,0.025824405
Province_North West,0.024963738
make_MERCEDES-BENZ,0.023638088
Model_HiACE SIYAYA,0.022547226
make_CMC,0.020933243
Province_Free State,0.017297635
transaction_date,0.016786512
Model_SPRINTER 416 CDI HI-ROOF F/C P/V,0.016736986
Province_KwaZulu-Natal,0.016263144
Model_QUANTUM 2.5 D-4D SESFIKILE 16s,0.013933083
Province_Gauteng,0.013306054
Model_AVANZA 1.5 SX,0.0128372405
Province_Mpumalanga,0.012561682
Model_QUANTUM 2.7 SESFIKILE 15s,0.0119743785
Model_SPRINTER 515 CDi HI-ROOF F/C P/V,0.011684823
Model_COROLLA 1.3 PROFESSIONAL,0.010674962
Province_Limpopo,0.010276429
Province_Eastern Cape,0.008867125
Model_CRAFTER 50 2.0 BiTDi HR 120KW F/C P/V,0.007690917
Model_AMANDLA 2.2,0.0075210524
Model_IBHUBEZI 2.2i,0.0070892577
Model_A4 1.8T S AVANT MULTITRONIC,0.0067429715
make_AUDI,0.006488489
make_BMW,0.0055535813
VehicleType_nan,0.005334835
make_JINBEI,0.0051258816
Model_INYATHI,0.0038950546
Gender_Male,0.0035058635
Model_POLO 1.4 TRENDLINE 5DR,0.0022248907
Model_QUANTUM 2.7 10 SEAT,0.002110418
make_MAZDA,0.0020073217
Model_320d (E90),0.0016799151
Model_CRAFTER 50 2.0 BiTDi HR120KW XLWB F/C P/V,0.0014699376
Model_AVANZA 1.5 SX A/T,0.0010400249
Model_CRAFTER 50 HR120 XLWB F/C P/V,0.0009111365
Model_VERSO 180 SX,0.00087944994
Model_A4 2.0 TDI S  MULTITRONIC,0.0005438382
Model_3 2.0 INDIVIDUAL,0.00043404955
Model_A4 2.0 TDI S 105kW,0.00032070169
Model_COROLLA 1.3 ADVANCED,0.00028066096
Model_C200 BE ESTATE CLASSIC,0.00026313655
Model_COROLLA QUEST 1.6,0.0002155551
Model_C180 BE COUPE,0.00020408895
Model_QUANTUM 2.5 D-4D SESFIKILE 15s,0.00017979377
loss_ratio,0.00017476731
Model_COROLLA 1.4 PROFESSIONAL,7.771931e-05
make_nan,2.7480512e-06
Model_QUANTUM 2.7 14 SEAT,2.1736014e-06
Model_nan,1.2055901e-06
Model_C180K BE AVANTGARDE,1.0260131e-08
Model_VERSO 1.8 SX CVT,0.0
Model_VERSO 160,0.0
Model_VERSO 180,0.0
Model_VIEW 2.2 TAXI,0.0
Model_VITO 115 CDI CREWBUS,0.0
Model_VITO 116 CDi CREWBUS,0.0
Model_VOLARE W8 28 SEAT B/S B/S,0.0
Model_SWIFT 1.2 GL A/T,0.0
Model_318iS (E36),0.0
Model_TOUAREG 5.0 V10 TDI TIP,0.0
Model_TIIDA 1.6 VISIA + (H31),0.0
Model_X TRAIL 2.0 4X2 XE (R79/R85),0.0
Model_VENTURE 1800 6+4,0.0
Model_316i A/T (F30),0.0
Model_316i (F30),0.0
Model_316i (E36),0.0
Model_3 1.6 DYNAMIC,0.0
Model_1400 CHAMP (B01) P/U S/C,0.0
Model_13-206 F/C C/C,0.0
Model_115 VITO 2.2 CDI CREW CAB F/C P/V,0.0
Model_0305 M BAR B/S CCL,0.0
make_VOLVO,0.0
make_VOLKSWAGEN,0.0
make_TATA,0.0
Model_YARIS T1 3Dr,0.0
Model_YARIS 1.3 5Dr,0.0
Model_35S12V12 F/C P/V,0.0
Model_35S12V10 F/C P/V,0.0
Model_35 S13V 9M F/C P/V,0.0
Model_35 S13V 8 F/C P/V,0.0
Model_35 S13V 7M F/C P/V,0.0
Model_330i (E90),0.0
Model_328i (F30),0.0
Model_325i (E46)F/L,0.0
Model_323 130 STING,0.0
Model_320i START (E90),0.0
Model_320i A/T (E90),0.0
Model_320i (F30),0.0
Model_320i (E90),0.0
Model_320i (E36),0.0
Model_320d START (E90),0.0
Model_320d A/T (E90),0.0
Model_A4 1.8T AMBITION MULTITRONIC (B8),0.0
Model_A4 1.8T AMBITION (B8),0.0
Model_626 200 e,0.0
Model_525i (E60),0.0
Model_523i A/T (E60),0.0
Model_50C15V15 F/C P/V,0.0
Model_50C15V12 F/C P/V,0.0
Model_50C15 F/C C/C,0.0
Model_50 C15V 15 F/C P/V,0.0
Model_50 C13V 15M F/C P/V,0.0
Model_50 C13D F/C D/C,0.0
Model_50 C13 F/C C/C,0.0
Model_5 2.0L ACTIVE,0.0
Model_40 C11CC F/C C/C,0.0
Model_35S15C CAMPER P/V,0.0
Model_35S12V8 F/C P/V,0.0
make_MARCOPOLO,0.0
make_MAHINDRA,0.0
make_LEXUS,0.0
Model_ALMERA 1.6 COMFORT (H14/25),0.0
Model_ALMERA 1.6 COMFORT (H01),0.0
Model_ALMERA 1.5 ACENTA,0.0
Model_ACCORD 2.0i A/T,0.0
Model_ACCENT 1.5 RSi,0.0
Model_ACCENT 1.5 CSi,0.0
Model_A5 SPRTBACK 2.0 TDI MULTI,0.0
Model_A4 3.0 TDI QUATTRO (B7),0.0
Model_A4 2.0 TDI SE MULTITRONIC,0.0
Model_A4 2.0 TDI AMBITION 125KW (B8),0.0
Model_A4 2.0 TDI AMBITION (B8),0.0
Model_A4 1.8T S AVANT,0.0
Model_A4 1.8T ATTRACTION (B8),0.0
Model_AURIS 1.6 XS,0.0
Model_ATEGO 1217/48 F/C C/C,0.0
Model_ALMERA 1.6 LUXURY A/T (H16/27),0.0
Model_ALMERA 1.6 LUXURY (H15/H26),0.0
Model_ALMERA 1.6 LUXURY (H02),0.0
make_SUZUKI,0.0
make_SCANIA,0.0
make_SAIC,0.0
make_RENAULT,0.0
make_PROTON,0.0
make_POLARSUN,0.0
make_PEUGEOT,0.0
make_OPEL,0.0
make_NISSAN/DATSUN,0.0
make_NISSAN,0.0
make_MITSUBISHI,0.0
Model_C180 CGI BE CLASSIC,0.0
Model_C180 BE COUPE A/T,0.0
Model_C180 A/T,0.0
Model_C180,0.0
Model_BOXER L4H2 3.0 HDi XLH4 F/C P/V,0.0
Model_BOXER L4H2 2.2 HDi XLH4 F/C P/V,0.0
Model_BOXER L2H1 2.2 HDi M F/C P/V,0.0
Model_BANTAM 1.3i A/C P/U S/C,0.0
Model_BALLADE 180 E A/T,0.0
Model_AVEO 1.5 LS 5Dr A/T,0.0
Model_AVENSIS 2.0 ADVANCED,0.0
Model_AVANZA 1.5 TX,0.0
Model_AVANZA 1.3 SX,0.0
Model_AVANZA 1.3 S F/C P/V,0.0
Model_AVANZA 1.3 S,0.0
Model_AVANZA  1.3 S,0.0
Model_C230 CLASSIC A/T,0.0
Model_C220 CDi CLASSIC,0.0
Model_C200K ESTATE CLASSIC,0.0
Model_C200K CLASSIC A/T,0.0
Model_C200K CLASSIC,0.0
Model_C200 CGI BE CLASSIC A/T,0.0
Model_C200 CGI BE CLASSIC,0.0
Model_C200 CDi ESTATE CLASSIC  A/T,0.0
